ID_UC;Código UC;Informações Gerais;Nome da UC;Esfera Administrativa;Categoria de Manejo;Categoria IUCN;UF;Ano do ato legal mais recente;Ato Legal de Criação;Outros atos legais;Municípios Abrangidos;Plano de Manejo;Conselho Gestor;Órgão Gestor;Fonte da Área: (1 = SHP, 0 = Ato legal);Área soma biomas;Área soma Biomas Continental;Área Ato Legal de Criação;Bioma Área (ha);Amazônia;Caatinga;Cerrado;Mata Atlântica;Pampa;Pantanal;Área Marinha;Bioma declarado;% Além da linha de costa;Grupo;PI;US;Recortes (ha);Lei da Mata Atlântica;Mar Territorial;Município Costeiro;Município Costeiro + Área Marinha;Amazônia Legal;Programa/Projeto;Sítios do Patrimônio Mundial;Sítios Ramsar;Mosaico;Reserva da Biosfera;Sobreposição com TI ou TQ;Biomas Abrangidos;Região;Presente na versão anterior;Diferença Área;Razão Diferença Área;Qualidade dos dados georreferenciados;Data da última certificação dos dados pelo Órgão Gestor
11;0000.00.0011;;ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MANTIQUEIRA;Federal;Área de Proteção Ambiental;Category V;MG, RJ, SP;1985;Decreto 91304 de 03/06/1985;Sem informação.;AIURUOCA (MG) - ALAGOA (MG) - BAEPENDI (MG) - BOCAINA DE MINAS (MG) - CAMPOS DO JORDÃO (SP) - CRUZEIRO (SP) - DELFIM MOREIRA (MG) - GUARATINGUETÁ (SP) - ITAMONTE (MG) - ITANHANDU (MG) - ITATIAIA (RJ) - LAVRINHAS (SP) - LIBERDADE (MG) - LORENA (SP) - MARMELÓPOLIS (MG) - PASSA QUATRO (MG) - PASSA VINTE (MG) - PINDAMONHANGABA (SP) - PIQUETE (SP) - PIRANGUÇU (MG) - POUSO ALTO (MG) - QUELUZ (SP) - RESENDE (RJ) - SANTO ANTÔNIO DO PINHAL (SP) - SÃO BENTO DO SAPUCAÍ (SP) - VIRGÍNIA (MG) - WENCESLAU BRAZ (MG);Sim;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;437525,1409;437.525;411.184;;0;0;0;437.525;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;;0;0;0;;;;;Mantiqueira;RB - Mt Atlântica;;;;1;-1,84E-05;;Polígono corresponde ao memorial descritivo;segunda-feira, 12 de abril de 2010
12;0000.00.0012;;ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA TABATINGA;Federal;Área de Proteção Ambiental;Category V;TO;2002;Decreto 99.278 de 06/06/1990;Redução: Decreto S/N de 16/07/2002;MATEIROS (TO);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;41782,1721;41.782;61.000;;0;0;41.782;0;0;0;0;Cerrado;0;Uso Sustentável;0;1;;;0;0;0;;;;;Jalapão;RB - Cerrado;;;;1;8,18E-06;;Polígono corresponde ao memorial descritivo;segunda-feira, 3 de dezembro de 2007
13;0000.00.0013;;ÁREA DE PROTEÇÃO AMBIENTAL DE CAIRUÇU;Federal;Área de Proteção Ambiental;Category V;RJ;1983;Decreto 89242 de 27/12/1983;Sem informação.;PARATY (RJ);Sim;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;32610,77938;31.913;32.688;;0;0;0;31.913;0;0;698;Mata Atlântica;0,021405099;Uso Sustentável;0;1;;;1;1;1;;;Parati e Ilha Grande (Misto);;Bocaina;RB - Mt Atlântica;;;;1;0;;Polígono corresponde ao memorial descritivo;sexta-feira, 23 de abril de 2010
14;0000.00.0014;;ÁREA DE PROTEÇÃO AMBIENTAL DE CANANÉIA-IGUAPÉ-PERUÍBE;Federal;Área de Proteção Ambiental;Category V;SP;1995;Decreto 90347 de 23/10/1984;Ampliação: Decreto 91892 de 06/11/1995;CANANÉIA (SP) - IGUAPE (SP) - ILHA COMPRIDA (SP) - ITARIRI (SP) - MIRACATU (SP) - PERUÍBE (SP);Sim;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;202309,5577;201.855;196.955;;0;0;0;201.855;0;0;454;Mata Atlântica;0,002244757;Uso Sustentável;0;1;;;1;1;1;;GEF Mar-Áreas Marinhas e Costeiras Protegidas;;APA Cananéia-Iguape-Peruíbe;Litoral de São Paulo;RB - Cinturão Verde da Cidade de São Paulo, RB - Mt Atlântica;;;;1;4,66E-10;;Polígono corresponde ao memorial descritivo;sexta-feira, 26 de março de 2010
15;0000.00.0015;;ÁREA DE PROTEÇÃO AMBIENTAL DE FERNANDO DE NORONHA;Federal;Área de Proteção Ambiental;Category V;PE;1986;Decreto 92755 de 05/06/1986;Sem informação.;FERNANDO DE NORONHA (PE);Sim;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;154357,9418;787;154.000;;0;0;0;787;0;0;153.571;Área Marinha;0,994903446;Uso Sustentável;0;1;;;1;1;1;;GEF Mar-Áreas Marinhas e Costeiras Protegidas;;;;RB - Mt Atlântica;;;;1;-3,78E-10;;Polígono corresponde ao memorial descritivo;quinta-feira, 27 de setembro de 2007
16;0000.00.0016;;ÁREA DE PROTEÇÃO AMBIENTAL DE GUAPI-MIRIM;Federal;Área de Proteção Ambiental;Category V;RJ;1984;Decreto 90225 de 25/09/1984;Sem informação.;GUAPIMIRIM (RJ) - ITABORAÍ (RJ) - MAGÉ (RJ) - SÃO GONÇALO (RJ);Sim;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;13890,14128;8.908;13.950;;0;0;0;8.908;0;0;4.982;Mata Atlântica;0,358673332;Uso Sustentável;0;1;;;1;1;1;;;;;;RB - Mt Atlântica;;;;1;0;;Polígono corresponde ao memorial descritivo;sexta-feira, 23 de abril de 2010
17;0000.00.0017;;ÁREA DE PROTEÇÃO AMBIENTAL DE GUARAQUEÇABA;Federal;Área de Proteção Ambiental;Category V;PR;1997;Decreto 90883 de 31/01/1985;Redução: Lei ordinária 9.513 Art 3 de 20/11/1997;ANTONINA (PR) - CAMPINA GRANDE DO SUL (PR) - GUARAQUEÇABA (PR) - PARANAGUÁ (PR);Sim;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;245640,9079;245.641;282.444;;0;0;0;245.641;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;;0;1;1;;;;;Litoral de São Paulo;RB - Mt Atlântica;;;;1;-2,16E-06;;Polígono corresponde ao memorial descritivo;segunda-feira, 19 de junho de 2023
18;0000.00.0018;;ÁREA DE PROTEÇÃO AMBIENTAL DE PIAÇABUÇU;Federal;Área de Proteção Ambiental;Category V;AL;1983;Decreto 88421 de 21/06/1983;Sem informação.;FELIZ DESERTO (AL) - PIAÇABUÇU (AL);Não;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;9107,105288;9.042;9.143;;0;0;0;9.042;0;0;65;Mata Atlântica;0,007120081;Uso Sustentável;0;1;;;1;1;1;;;;;;RB - Mt Atlântica;;;;1;1,82E-12;;Polígono corresponde ao memorial descritivo;quinta-feira, 27 de setembro de 2007
19;0000.00.0019;;ÁREA DE PROTEÇÃO AMBIENTAL DELTA DO PARNAIBA;Federal;Área de Proteção Ambiental;Category V;CE, MA, PI;1996;Decreto S/N de 28/08/1996;Sem informação.;ÁGUA DOCE DO MARANHÃO (MA) - ARAIOSES (MA) - BARROQUINHA (CE) - CAJUEIRO DA PRAIA (PI) - CHAVAL (CE) - ILHA GRANDE (PI) - LUÍS CORREIA (PI) - PARNAÍBA (PI) - PAULINO NEVES (MA) - TUTÓIA (MA);Não;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;309589,6125;223.653;313.800;;0;85.634;138.019;0;0;0;85.936;Cerrado;0,277580833;Uso Sustentável;0;1;;;1;1;1;;GEF Mar-Áreas Marinhas e Costeiras Protegidas;;Estuário do Amazonas e seus Manguezais (Regional);;RB - Caatinga, RB - Mt Atlântica;;;;1;3,71E-06;;Polígono corresponde ao memorial descritivo;quarta-feira, 27 de abril de 2011
20;0000.00.0020;;ÁREA DE PROTEÇÃO AMBIENTAL CARSTE DE LAGOA SANTA;Federal;Área de Proteção Ambiental;Category V;MG;1996;Decreto 98881 de 25/01/1990;Revisão dos limites: Decreto 1876 de 25/04/1996;CONFINS (MG) - FUNILÂNDIA (MG) - LAGOA SANTA (MG) - MATOZINHOS (MG) - PEDRO LEOPOLDO (MG);Sim;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;37735,56901;37.736;35.600;;0;0;37.736;0;0;0;0;Cerrado;0;Uso Sustentável;0;1;;;0;0;0;;;;Lund Warming;;RB - Mt Atlântica, RB - Serra do Espinhaço;;;;1;-8,90E-07;;Polígono corresponde ao memorial descritivo;quinta-feira, 22 de junho de 2023
21;0000.00.0021;;ÁREA DE PROTEÇÃO AMBIENTAL IBIRAPUITÃ;Federal;Área de Proteção Ambiental;Category V;RS;1992;Decreto 529 de 20/05/1992;Sem informação.;ALEGRETE (RS) - QUARAÍ (RS) - ROSÁRIO DO SUL (RS) - SANT'ANA DO LIVRAMENTO (RS);Não;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;316661,578;316.662;318.000;;0;0;0;0;316.662;0;0;Pampa;0;Uso Sustentável;0;1;;;0;0;0;;GEF Terrestre-Estratégias de conservação, restauração e manejo para a biodiversidade da Caatinga, Pampa e Pantanal;;;;;;;;1;0;;Polígono corresponde ao memorial descritivo;quinta-feira, 24 de abril de 2008
22;0000.00.0022;;ÁREA DE PROTEÇÃO AMBIENTAL DO IGARAPÉ GELADO;Federal;Área de Proteção Ambiental;Category V;PA;1989;Decreto 97718 de 05/05/1989;Sem informação.;PARAUAPEBAS (PA);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;23282,74361;23.283;20.637;;23282,74361;0;0;0;0;0;0;Amazônia;0;Uso Sustentável;0;1;;;0;0;0;;;;;;;;;;1;0;;Polígono corresponde ao memorial descritivo;sexta-feira, 23 de abril de 2010
23;0000.00.0023;;ÁREA DE PROTEÇÃO AMBIENTAL DO PLANALTO CENTRAL;Federal;Área de Proteção Ambiental;Category V;DF, GO;2002;Decreto s/n de 10/01/2002;Sem informação.;BRASÍLIA (DF) - PADRE BERNARDO (GO) - PLANALTINA (GO);Sim;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;503419,3176;503.419;503.423;;0;0;503.419;0;0;0;0;Cerrado;0;Uso Sustentável;0;1;;;0;0;0;;;;;;RB - Cerrado;;;;1;-1,97E-05;;Polígono corresponde ao memorial descritivo;quarta-feira, 14 de junho de 2023
24;0000.00.0024;;ÁREA DE PROTEÇÃO AMBIENTAL DOS MEANDROS DO RIO ARAGUAIA;Federal;Área de Proteção Ambiental;Category V;GO, MT, TO;1998;Decreto S/N de 02/10/1998;Sem informação.;COCALINHO (MT) - FORMOSO DO ARAGUAIA (TO) - NOVA CRIXÁS (GO) - SANDOLÂNDIA (TO) - SÃO MIGUEL DO ARAGUAIA (GO);Não;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;359192,0464;359192,0464;357126;;0;0;359192,0464;0;0;0;0;Cerrado;0;Uso Sustentável;0;1;;;0;0;0;;;;;;;;;;1;-9,04E-08;;Polígono corresponde ao memorial descritivo;segunda-feira, 7 de agosto de 2023
25;0000.00.0025;;ÁREA DE PROTEÇÃO AMBIENTAL ILHAS E VÁRZEAS DO RIO PARANÁ;Federal;Área de Proteção Ambiental;Category V;MS, PR, SP;1997;Decreto S/N de 30/09/1997;Sem informação.;ALTÔNIA (PR) - ALTO PARAÍSO (PR) - BATAYPORÃ (MS) - DIAMANTE DO NORTE (PR) - ELDORADO (MS) - GUAÍRA (PR) - ICARAÍMA (PR) - IGUATEMI (MS) - ITAQUIRAÍ (MS) - IVATÉ (PR) - IVINHEMA (MS) - JAPORÃ (MS) - JATEÍ (MS) - MARILENA (PR) - MUNDO NOVO (MS) - NAVIRAÍ (MS) - NOVA ANDRADINA (MS) - NOVA LONDRINA (PR) - NOVO HORIZONTE DO SUL (MS) - PORTO RICO (PR) - QUERÊNCIA DO NORTE (PR) - ROSANA (SP) - SANTA CRUZ DE MONTE CASTELO (PR) - SÃO JORGE DO PATROCÍNIO (PR) - SÃO PEDRO DO PARANÁ (PR) - TAQUARUSSU (MS) - TERRA ROXA (PR);Não;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;1005190,318;1005190,318;1003059;;0;0;33,59700128;1005156,721;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;;0;0;0;;;;;;RB - Mt Atlântica;;;;1;-4,94E-06;;Polígono corresponde ao memorial descritivo;sexta-feira, 23 de abril de 2010
27;0000.00.0027;;ÁREA DE PROTEÇÃO AMBIENTAL MORRO DA PEDREIRA;Federal;Área de Proteção Ambiental;Category V;MG;1990;Decreto 98891 de 26/01/1990;Sem informação.;CONCEIÇÃO DO MATO DENTRO (MG) - ITABIRA (MG) - ITAMBÉ DO MATO DENTRO (MG) - JABOTICATUBAS (MG) - MORRO DO PILAR (MG) - NOVA UNIÃO (MG) - SANTANA DO RIACHO (MG) - TAQUARAÇU DE MINAS (MG);Sim;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;131770,846;131.771;100.431;;0;0;124.957;6.814;0;0;0;Cerrado;0;Uso Sustentável;0;1;;;0;0;0;;;;;Serra do Cipó;RB - Mt Atlântica, RB - Serra do Espinhaço;;;;1;0;;Polígono corresponde ao memorial descritivo;sexta-feira, 23 de abril de 2010
28;0000.00.0028;;ÁREA DE PROTEÇÃO AMBIENTAL DAS NASCENTES DO RIO VERMELHO;Federal;Área de Proteção Ambiental;Category V;BA, GO;2001;Decreto S/N de 27/09/2001;Sem informação.;BURITINÓPOLIS (GO) - DAMIANÓPOLIS (GO) - JABORANDI (BA) - MAMBAÍ (GO) - POSSE (GO);Não;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;173968,0522;173.968;176.159;;0;0;173.968;0;0;0;0;Cerrado;0;Uso Sustentável;0;1;;;0;0;0;;;;;;RB - Cerrado;;;;1;-2,00E-07;;Polígono corresponde ao memorial descritivo;segunda-feira, 11 de setembro de 2023
29;0000.00.0029;;ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA IBIAPABA;Federal;Área de Proteção Ambiental;Category V;CE, PI;1996;Decreto s/n de 26/11/1996;Sem informação.;BOM PRINCÍPIO DO PIAUÍ (PI) - BRASILEIRA (PI) - BURITI DOS LOPES (PI) - CHAVAL (CE) - COCAL (PI) - CONCEIÇÃO DO CANINDÉ (PI) - DOMINGOS MOURÃO (PI) - GRANJA (CE) - LAGOA DE SÃO FRANCISCO (PI) - MORAÚJO (CE) - PEDRO II (PI) - PIRACURUCA (PI) - PIRIPIRI (PI) - TIANGUÁ (CE) - VIÇOSA DO CEARÁ (CE);Não;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;1628740,625;1.628.741;1.592.550;;0;985.735;643.006;0;0;0;0;Caatinga;0;Uso Sustentável;0;1;;;0;1;1;;GEF Terrestre-Estratégias de conservação, restauração e manejo para a biodiversidade da Caatinga, Pampa e Pantanal;;;;RB - Caatinga, RB - Mt Atlântica;;;;1;290,3127963;;Polígono corresponde ao memorial descritivo;quinta-feira, 28 de setembro de 2023
30;0000.00.0030;;ÁREA DE RELEVANTE INTERESSE ECOLÓGICO BURITI DE VASSUNUNGA;Federal;Área de Relevante Interesse Ecológico;Category IV;SP;1990;Decreto 99276 de 06/06/1990;Sem informação.;SANTA RITA DO PASSA QUATRO (SP);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;150,979417;151;149;;0;0;151;0;0;0;0;Cerrado;0;Uso Sustentável;0;1;;;0;0;0;;;;;;RB - Mt Atlântica;;;;1;0;;Polígono corresponde ao memorial descritivo;segunda-feira, 17 de abril de 2023
31;0000.00.0031;;ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CAPETINGA - TAQUARA;Federal;Área de Relevante Interesse Ecológico;Category IV;DF;1985;Decreto 91.303 de 03/06/1985;Sem informação.;BRASÍLIA (DF);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;2057,235274;2.057;2.100;;0;0;2.057;0;0;0;0;Cerrado;0;Uso Sustentável;0;1;;;0;0;0;;;;;;RB - Cerrado;;;;1;0;;Polígono é uma estimativa dos limites da UC;quinta-feira, 17 de agosto de 2023
32;0000.00.0032;;ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE;Federal;Área de Relevante Interesse Ecológico;Category IV;SP;1990;Decreto 99275 de 06/06/1990;Sem informação.;SANTA RITA DO PASSA QUATRO (SP);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;1199,061966;1.199;1.060;;0;0;1.199;0;0;0;0;Cerrado;0;Uso Sustentável;0;1;;;0;0;0;;;;;;RB - Mt Atlântica;;;;1;0;;Polígono corresponde ao memorial descritivo;terça-feira, 11 de abril de 2023
34;0000.00.0034;;MONUMENTO NATURAL DAS ILHAS CAGARRAS;Federal;Monumento Natural;Category III;RJ;2010;Resolução 11 de 14/09/1989;Recategorização: Decreto S/N.º de 13/04/2010;NITERÓI (RJ);Sim;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;91,19849516;63;0;;0;0;0;63;0;0;28;Mata Atlântica;0,306578105;Proteção Integral;1;0;;;1;1;1;;;;;Carioca;RB - Mt Atlântica;;;;1;0;;Polígono é uma estimativa dos limites da UC;segunda-feira, 23 de agosto de 2010
